Monitoring imports on 159 and 184...
184 import will be monitored after export PID 3193137 finishes.
[07:28:06] 184: running=True, files_left=1120
[07:30:07] 159: running=True, files_left=588
[07:30:08] 184: running=True, files_left=1117
[07:32:09] 159: running=True, files_left=577
[07:32:11] 184: running=True, files_left=1113
[07:34:12] 159: running=True, files_left=570
[07:34:13] 184: running=True, files_left=1110
[07:36:14] 159: running=True, files_left=567
[07:36:16] 184: running=True, files_left=1105
[07:38:17] 159: running=True, files_left=564
[07:38:18] 184: running=True, files_left=1102
[07:40:19] 159: running=True, files_left=561
[07:40:20] 184: running=True, files_left=1098
[07:42:22] 159: running=True, files_left=555
[07:42:23] 184: running=True, files_left=1093
[07:44:24] 159: running=True, files_left=552
[07:44:25] 184: running=True, files_left=1090
[07:46:27] 159: running=True, files_left=549
[07:46:28] 184: running=True, files_left=1086
[07:48:29] 159: running=True, files_left=546
[07:48:30] 184: running=True, files_left=1083
[07:50:31] 159: running=True, files_left=542
[07:50:33] 184: running=True, files_left=1079
[07:52:34] 159: running=True, files_left=539
[07:52:35] 184: running=True, files_left=1075
[07:54:36] 159: running=True, files_left=535
[07:54:38] 184: running=True, files_left=1072
[07:56:39] 159: running=True, files_left=532
[07:56:40] 184: running=True, files_left=1067
[07:58:41] 159: running=True, files_left=528
[07:58:42] 184: running=True, files_left=1064
[08:00:44] 159: running=True, files_left=524
[08:00:45] 184: running=True, files_left=1061
[08:02:46] 159: running=True, files_left=521
[08:02:47] 184: running=True, files_left=1056
[08:04:49] 159: running=True, files_left=517
[08:04:50] 184: running=True, files_left=1052
[08:06:51] 159: running=True, files_left=506
[08:06:52] 184: running=True, files_left=1043
[08:08:54] 159: running=True, files_left=497
[08:08:55] 184: running=True, files_left=1036
[08:10:55] 159: running=True, files_left=493
[08:10:57] 184: running=True, files_left=1033
[08:12:57] 159: running=True, files_left=490
[08:12:58] 184: running=True, files_left=1029
[08:14:59] 159: running=True, files_left=487
[08:15:00] 184: running=True, files_left=1024
[08:17:01] 159: running=True, files_left=480
[08:17:02] 184: running=True, files_left=1020
[08:19:03] 159: running=True, files_left=477
[08:19:04] 184: running=True, files_left=1016
[08:21:05] 159: running=True, files_left=474
[08:21:06] 184: running=True, files_left=1013
[08:23:07] 159: running=True, files_left=471
[08:23:08] 184: running=True, files_left=1009
[08:25:09] 159: running=True, files_left=466
[08:25:10] 184: running=True, files_left=1004
[08:27:11] 159: running=True, files_left=463
[08:27:12] 184: running=True, files_left=1000
[08:29:13] 159: running=True, files_left=460
[08:29:14] 184: running=True, files_left=997
[08:31:14] 159: running=True, files_left=456
[08:31:16] 184: running=True, files_left=993
[08:33:16] 159: running=True, files_left=452
[08:33:18] 184: running=True, files_left=989
[08:35:18] 159: running=True, files_left=448
[08:35:19] 184: running=True, files_left=985
[08:37:20] 159: running=True, files_left=445
[08:37:21] 184: running=True, files_left=981
[08:39:22] 159: running=True, files_left=438
[08:39:23] 184: running=True, files_left=977
[08:41:24] 159: running=True, files_left=429
[08:41:25] 184: running=True, files_left=975
[08:43:26] 159: running=True, files_left=424
[08:43:27] 184: running=True, files_left=970
[08:45:28] 159: running=True, files_left=421
[08:45:29] 184: running=True, files_left=965
[08:47:30] 159: running=True, files_left=416
[08:47:31] 184: running=True, files_left=955
[08:49:32] 159: running=True, files_left=413
[08:49:33] 184: running=True, files_left=947
[08:51:34] 159: running=True, files_left=410
[08:51:35] 184: running=True, files_left=945
[08:53:35] 159: running=True, files_left=405
[08:53:37] 184: running=True, files_left=942
[08:55:37] 159: running=True, files_left=402
[08:55:39] 184: running=True, files_left=939
[08:57:39] 159: running=True, files_left=398
[08:57:41] 184: running=True, files_left=936
[08:59:41] 159: running=True, files_left=393
[08:59:42] 184: running=True, files_left=931
[09:01:43] 159: running=True, files_left=390
[09:01:44] 184: running=True, files_left=928
[09:03:45] 159: running=True, files_left=387
[09:03:46] 184: running=True, files_left=925
[09:05:47] 159: running=True, files_left=384
[09:05:48] 184: running=True, files_left=922
[09:07:49] 159: running=True, files_left=381
[09:07:50] 184: running=True, files_left=918
[09:09:50] 159: running=True, files_left=378
[09:09:52] 184: running=True, files_left=914
[09:11:52] 159: running=True, files_left=374
[09:11:54] 184: running=True, files_left=910
[09:13:54] 159: running=True, files_left=370
[09:13:55] 184: running=True, files_left=908
[09:15:56] 159: running=True, files_left=367
[09:15:57] 184: running=True, files_left=905
[09:17:58] 159: running=True, files_left=365
[09:17:59] 184: running=True, files_left=902
[09:20:00] 159: running=True, files_left=360
[09:20:01] 184: running=True, files_left=899
[09:22:02] 159: running=True, files_left=357
[09:22:03] 184: running=True, files_left=894
[09:24:04] 159: running=True, files_left=354
[09:24:05] 184: running=True, files_left=891
[09:26:06] 159: running=True, files_left=351
[09:26:07] 184: running=True, files_left=888
[09:28:08] 159: running=True, files_left=347
[09:28:09] 184: running=True, files_left=883
[09:30:09] 159: running=True, files_left=343
[09:30:11] 184: running=True, files_left=880
[09:32:11] 159: running=True, files_left=338
[09:32:12] 184: running=True, files_left=872
[09:34:13] 159: running=True, files_left=332
[09:34:14] 184: running=True, files_left=860
[09:36:15] 159: running=True, files_left=327
[09:36:16] 184: running=True, files_left=857
[09:38:17] 159: running=True, files_left=324
[09:38:18] 184: running=True, files_left=854
[09:40:19] 159: running=True, files_left=321
[09:40:20] 184: running=True, files_left=851
[09:42:21] 159: running=True, files_left=318
[09:42:22] 184: running=True, files_left=846
[09:44:23] 159: running=True, files_left=314
[09:44:24] 184: running=True, files_left=843
[09:46:24] 159: running=True, files_left=311
[09:46:26] 184: running=True, files_left=840
[09:48:26] 159: running=True, files_left=307
[09:48:28] 184: running=True, files_left=837
[09:50:28] 159: running=True, files_left=303
[09:50:29] 184: running=True, files_left=834
[09:52:30] 159: running=True, files_left=300
[09:52:31] 184: running=True, files_left=828
[09:54:32] 159: running=True, files_left=296
[09:54:33] 184: running=True, files_left=825
[09:56:34] 159: running=True, files_left=291
[09:56:35] 184: running=True, files_left=821
[09:58:36] 159: running=True, files_left=286
[09:58:37] 184: running=True, files_left=818
[10:00:38] 159: running=True, files_left=282
[10:00:39] 184: running=True, files_left=813
[10:02:39] 159: running=True, files_left=277
[10:02:41] 184: running=True, files_left=810
[10:04:41] 159: running=True, files_left=273
[10:04:43] 184: running=True, files_left=806
[10:06:43] 159: running=True, files_left=269
[10:06:44] 184: running=True, files_left=803
[10:08:45] 159: running=True, files_left=263
[10:08:46] 184: running=True, files_left=798
[10:10:47] 159: running=True, files_left=257
[10:10:48] 184: running=True, files_left=795
[10:12:49] 159: running=True, files_left=252
[10:12:50] 184: running=True, files_left=791
[10:14:51] 159: running=True, files_left=248
[10:14:52] 184: running=True, files_left=788
[10:16:53] 159: running=True, files_left=243
[10:16:54] 184: running=True, files_left=778
[10:18:54] 159: running=True, files_left=239
[10:18:56] 184: running=True, files_left=774
[10:20:56] 159: running=True, files_left=236
[10:20:57] 184: running=True, files_left=768
[10:22:58] 159: running=True, files_left=231
[10:22:59] 184: running=True, files_left=761
[10:25:00] 159: running=True, files_left=228
[10:25:01] 184: running=True, files_left=758
[10:27:02] 159: running=True, files_left=224
[10:27:03] 184: running=True, files_left=755
[10:29:04] 159: running=True, files_left=221
[10:29:05] 184: running=True, files_left=751
[10:31:06] 159: running=True, files_left=216
[10:31:07] 184: running=True, files_left=748
[10:33:08] 159: running=True, files_left=212
[10:33:09] 184: running=True, files_left=743
[10:35:10] 159: running=True, files_left=209
[10:35:11] 184: running=True, files_left=739
[10:37:11] 159: running=True, files_left=206
[10:37:13] 184: running=True, files_left=736
[10:39:13] 159: running=True, files_left=202
[10:39:14] 184: running=True, files_left=732
[10:41:15] 159: running=True, files_left=199
[10:41:16] 184: running=True, files_left=728
[10:43:17] 159: running=True, files_left=196
[10:43:18] 184: running=True, files_left=724
[10:45:19] 159: running=True, files_left=193
[10:45:20] 184: running=True, files_left=721
[10:47:21] 159: running=True, files_left=188
[10:47:22] 184: running=True, files_left=718
[10:49:23] 159: running=True, files_left=182
[10:49:24] 184: running=True, files_left=714
[10:51:25] 159: running=True, files_left=177
[10:51:26] 184: running=True, files_left=711
[10:53:27] 159: running=True, files_left=172
[10:53:28] 184: running=True, files_left=708
[10:55:29] 159: running=True, files_left=169
[10:55:30] 184: running=True, files_left=705
[10:57:30] 159: running=True, files_left=165
[10:57:32] 184: running=True, files_left=702
[10:59:32] 159: running=True, files_left=161
[10:59:34] 184: running=True, files_left=695
[11:01:34] 159: running=True, files_left=158
[11:01:35] 184: running=True, files_left=687
[11:03:36] 159: running=True, files_left=154
[11:03:37] 184: running=True, files_left=679
[11:05:38] 159: running=True, files_left=151
[11:05:39] 184: running=True, files_left=673
[11:07:40] 159: running=True, files_left=148
[11:07:41] 184: running=True, files_left=669
[11:09:42] 159: running=True, files_left=145
[11:09:43] 184: running=True, files_left=666
[11:11:44] 159: running=True, files_left=140
[11:11:45] 184: running=True, files_left=661
[11:13:46] 159: running=True, files_left=136
[11:13:47] 184: running=True, files_left=657
[11:15:47] 159: running=True, files_left=133
[11:15:49] 184: running=True, files_left=653
[11:17:49] 159: running=True, files_left=130
[11:17:50] 184: running=True, files_left=650
[11:19:51] 159: running=True, files_left=123
[11:19:52] 184: running=True, files_left=645
[11:21:54] 159: running=True, files_left=117
[11:21:55] 184: running=True, files_left=642
[11:23:56] 159: running=True, files_left=110
[11:23:57] 184: running=True, files_left=638
[11:25:59] 159: running=True, files_left=104
[11:26:00] 184: running=True, files_left=634
[11:28:01] 159: running=True, files_left=99
[11:28:02] 184: running=True, files_left=630
[11:30:03] 159: running=True, files_left=93
[11:30:05] 184: running=True, files_left=626
[11:32:06] 159: running=True, files_left=88
[11:32:07] 184: running=True, files_left=623
[11:34:08] 159: running=True, files_left=82
[11:34:09] 184: running=True, files_left=618
[11:36:11] 159: running=True, files_left=77
[11:36:12] 184: running=True, files_left=615
[11:38:13] 159: running=True, files_left=72
[11:38:14] 184: running=True, files_left=610
[11:40:16] 159: running=True, files_left=67
[11:40:17] 184: running=True, files_left=605
[11:42:18] 159: running=True, files_left=62
[11:42:19] 184: running=True, files_left=593
[11:44:20] 159: running=True, files_left=56
[11:44:22] 184: running=True, files_left=583
[11:46:23] 159: running=True, files_left=49
[11:46:24] 184: running=True, files_left=572
[11:48:25] 159: running=True, files_left=43
[11:48:26] 184: running=True, files_left=569
