Time(sec),Used(GB),Percentage
4.72944188117981,10.644,67.3
7.433944225311279,10.651,67.4
10.386017322540283,10.656,67.4
13.230072975158691,10.625,67.2
17.36802887916565,10.624,67.2
22.312241077423096,10.609,67.1
27.236175775527954,10.616,67.2
32.15712809562683,10.600,67.1
36.72965598106384,10.599,67.1
41.96849012374878,10.604,67.1
46.84369969367981,10.604,67.1
51.76269745826721,10.603,67.1
